commit;category;change;description;element;path;isBreakingChange;deprecated;javaDoc
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.TypedString</code> <br>was removed<br>;TypedString;retrofit.mime.TypedString;true;false;false
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.TypedInput</code> <br>was removed<br>;TypedInput;retrofit.mime.TypedInput;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.TypedFile</code> <br>was removed<br>;TypedFile;retrofit.mime.TypedFile;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.MimeUtil</code> <br>was removed<br>;MimeUtil;retrofit.mime.MimeUtil;true;false;false
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.TypedOutput</code> <br>was removed<br>;TypedOutput;retrofit.mime.TypedOutput;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.MultipartTypedOutput</code> <br>was removed<br>;MultipartTypedOutput;retrofit.mime.MultipartTypedOutput;true;false;false
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.mime.TypedByteArray</code> <br>was removed<br>;TypedByteArray;retrofit.mime.TypedByteArray;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.client.Client</code> <br>was removed<br>;Client;retrofit.client.Client;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.client.Response</code> <br>was removed<br>;Response;retrofit.client.Response;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.client.OkClient</code> <br>was removed<br>;OkClient;retrofit.client.OkClient;true;false;true
b9fe6f99398843d84cb967cea29a53996019e4ba;Remove Type;Type;<br>type <code>retrofit.client.Request</code> <br>was removed<br>;Request;retrofit.client.Request;true;false;true
b01bc2af87ef5265e5b2f609dfc283d7aa931428;Remove Type;Type;<br>type <code>retrofit.converter.ConversionException</code> <br>was removed<br>;ConversionException;retrofit.converter.ConversionException;true;false;true
f5f0857c425905282c4b8e6a4bfeeab14aa1a2a6;Remove Type;Type;<br>type <code>retrofit.client.Header</code> <br>was removed<br>;Header;retrofit.client.Header;true;false;true
f044a78ed5b137f1e750d238f4e49803cf83636b;Remove Type;Type;<br>type <code>retrofit.appengine.UrlFetchClient</code> <br>was removed<br>;UrlFetchClient;retrofit.appengine.UrlFetchClient;true;false;true
f044a78ed5b137f1e750d238f4e49803cf83636b;Remove Type;Type;<br>type <code>retrofit.android.MainThreadExecutor</code> <br>was removed<br>;MainThreadExecutor;retrofit.android.MainThreadExecutor;true;false;true
f044a78ed5b137f1e750d238f4e49803cf83636b;Remove Type;Type;<br>type <code>retrofit.android.AndroidApacheClient</code> <br>was removed<br>;AndroidApacheClient;retrofit.android.AndroidApacheClient;true;false;true
