commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
eac2c5f7190d148e72341ea289b69cae1ae2a866;Move and Rename Type;Type;<br>type <code>retrofit.Person.PhoneNumber</code><br>moved and renamed to<br><code>retrofit.Phone</code><br>;;retrofit.Person.PhoneNumber;;retrofit.Phone;;;true;false;false
eac2c5f7190d148e72341ea289b69cae1ae2a866;Remove Type;Type;<br>type <code>retrofit.Person.PhoneNumber.Builder</code><br>was removed<br>;;retrofit.Person.PhoneNumber.Builder;;;;;true;false;false
eac2c5f7190d148e72341ea289b69cae1ae2a866;Remove Type;Type;<br>type <code>retrofit.Person.Builder</code><br>was removed<br>;;retrofit.Person.Builder;;;;;true;false;false
eac2c5f7190d148e72341ea289b69cae1ae2a866;Remove Type;Type;<br>type <code>retrofit.Person.PhoneType</code><br>was removed<br>;;retrofit.Person.PhoneType;;;;;true;false;false
eac2c5f7190d148e72341ea289b69cae1ae2a866;Remove Type;Type;<br>type <code>retrofit.Person</code><br>was removed<br>;;retrofit.Person;;;;;true;false;false
eac2c5f7190d148e72341ea289b69cae1ae2a866;Add Type;Type;<br>type <code>retrofit.Phone.Builder</code> added<br>;;;;retrofit.Phone.Builder;;;false;false;false
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.PhoneProtos</code><br>moved to<br><code>retrofit.PhoneProtos</code><br>;;retrofit.converter.PhoneProtos;;retrofit.PhoneProtos;;;true;false;false
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Move Type;Type;<br>type <code>retrofit.converter.Person</code><br>moved to<br><code>retrofit.Person</code><br>;;retrofit.converter.Person;;retrofit.Person;;;true;false;false
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Remove Type;Type;<br>type <code>retrofit.converter.Person.Builder</code><br>was removed<br>;;retrofit.converter.Person.Builder;;;;;true;false;false
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Remove Type;Type;<br>type <code>retrofit.converter.Person.PhoneNumber</code><br>was removed<br>;;retrofit.converter.Person.PhoneNumber;;;;;true;false;false
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Remove Type;Type;<br>type <code>retrofit.converter.PhoneProtos.Phone.Builder</code><br>was removed<br>;;retrofit.converter.PhoneProtos.Phone.Builder;;;;;true;false;true
9b203b66891c1d363529a1b2b46c8968bf54d7cc;Remove Type;Type;<br>type <code>retrofit.converter.PhoneProtos.Phone</code><br>was removed<br>;;retrofit.converter.PhoneProtos.Phone;;;;;true;false;true
